"name","group_name"
"Brazil","A"
"Croatia","A"
"Mexico","A"
"Cameroon","A"
"Spain","B"
"Netherlands","B"
"Chile","B"
"Australia","B"
"Colombia","C"
"Greece","C"
"Cote%20d'Ivoire","C"
"Japan","C"
"Uruguay","D"
"Costa Rica","D"
"England","D"
"Italy","D"
"Switzerland","E"
"Ecuador","E"
"France","E"
"Honduras","E"
"Argentina","F"
"Bosnia and Herzegovina","F"
"Iran","F"
"Nigeria","F"
"Germany","G"
"Portugal","G"
"Ghana","G"
"United States","G"
"Belgium","H"
"Algeria","H"
"Russia","H"
"South Korea","H"
