"name","name","date","group_name"
"Brazil","Croatia","2014-06-12 17:00:00","A"
"Mexico","Cameroon","2014-06-13 13:00:00","A"
"Spain","Netherlands","2014-06-13 16:00:00","B"
"Chile","Australia","2014-06-13 18:00:00","B"
"Colombia","Greece","2014-06-14 13:00:00","C"
"Cote%20d'Ivoire","Japan","2014-06-14 19:00:00","C"
"Uruguay","Costa Rica","2014-06-14 16:00:00","D"
"England","Italy","2014-06-14 19:00:00","D"
"Switzerland","Ecuador","2014-06-15 13:00:00","E"
"France","Honduras","2014-06-15 16:00:00","E"
"Argentina","Bosnia and Herzegovina","2014-06-15 19:00:00","F"
"Iran","Nigeria","2014-06-16 16:00:00","F"
"Germany","Portugal","2014-06-16 13:00:00","G"
"Ghana","United States","2014-06-16 19:00:00","G"
"Belgium","Algeria","2014-06-17 13:00:00","H"
"Russia","South Korea","2014-06-17 18:00:00","H"
"Brazil","Mexico","2014-06-17 14:00:00","A"
"Cameroon","Croatia","2014-06-17 15:00:00","A"
"Spain","Chile","2014-06-18 19:00:00","B"
"Australia","Netherlands","2014-06-18 13:00:00","B"
"Colombia","Cote%20d'Ivoire","2014-06-19 13:00:00","C"
"Japan","Greece","2014-06-19 19:00:00","C"
"Uruguay","England","2014-06-19 16:00:00","D"
"Italy","Costa Rica","2014-06-20 13:00:00","D"
"Switzerland","France","2014-06-20 16:00:00","E"
"Honduras","Ecuador","2014-06-20 19:00:00","E"
"Argentina","Iran","2014-06-21 13:00:00","F"
"Nigeria","Bosnia and Herzegovina","2014-06-21 18:00:00","F"
"Germany","Ghana","2014-06-21 16:00:00","G"
"United States","Portugal","2014-06-22 15:00:00","G"
"Belgium","Russia","2014-06-22 19:00:00","H"
"South Korea","Algeria","2014-06-22 13:00:00","H"
"Cameroon","Brazil","2014-06-23 17:00:00","A"
"Croatia","Mexico","2014-06-23 17:00:00","A"
"Australia","Spain","2014-06-23 13:00:00","B"
"Netherlands","Chile","2014-06-23 13:00:00","B"
"Japan","Colombia","2014-06-24 16:00:00","C"
"Greece","Cote%20d'Ivoire","2014-06-24 16:00:00","C"
"Italy","Uruguay","2014-06-24 13:00:00","D"
"Costa Rica","England","2014-06-24 13:00:00","D"
"Honduras","Switzerland","2014-06-25 16:00:00","E"
"Ecuador","France","2014-06-25 17:00:00","E"
"Nigeria","Argentina","2014-06-25 13:00:00","F"
"Bosnia and Herzegovina","Iran","2014-06-25 13:00:00","F"
"United States","Germany","2014-06-26 13:00:00","G"
"Portugal","Ghana","2014-06-26 13:00:00","G"
"South Korea","Belgium","2014-06-26 17:00:00","H"
"Algeria","Russia","2014-06-26 17:00:00","H"
